ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,p.adjust_log,cond
GO:0001906,GO:0001906: cell killing,16/203,250/28564,3.71E-11,4.66E-08,3.24E-08,B2m/Ceacam1/Lyz2/H2-K1/Gm7030/Pglyrp1/Ccl21b/Ccl21a/Ccl11/Nlrp6/H2-T23/C3/Cxcl14/Ctsh/Lyz1/Arg1,16,7.331234727,24h
GO:0019221,GO:0019221: cytokine-mediated signaling pathway,19/203,429/28564,2.92E-10,2.45E-07,1.70E-07,Laptm5/Ceacam1/Kit/Oas1g/Irgm2/Ccl21b/Prlr/Osmr/Cxcl15/Ccl21a/Ccl11/Il13ra1/Nlrp6/Naip1/Fcer1g/Naip5/Cxcl17/Arg1/Oasl2,19,6.611286949,24h
0,GO:0050900: leukocyte migration,17/203,386/28564,2.86E-09,1.79E-06,1.25E-06,Cd200/Kit/Ripor2/Lgmn/Ccl21b/Aoc3/Cxcl15/Ccl21a/Ccl11/Slamf9/Spp1/Slc12a2/Tlr2/Fcer1g/Cxcl14/Vcam1/Cxcl17,17,5.746056441,24h
0,GO:0052547: regulation of peptidase activity,17/203,466/28564,4.55E-08,1.59E-05,1.10E-05,Serpina1b/Laptm5/Serpina1e/Serpina1a/Slpi/Ifi205/Lgmn/Cdh1/Nlrp6/Naip1/Ctsk/Naip5/Ctsh/Ngfr/Sox7/Ccn2/Casp6,17,4.799613221,24h
GO:0002443,GO:0002443: leukocyte mediated immunity,17/203,480/28564,6.96E-08,1.94E-05,1.35E-05,B2m/Ceacam1/Kit/Gcnt3/H2-K1/Gm7030/Cfi/Slamf9/Nlrp6/H2-T23/Tlr2/Fcer1g/C3/Ctsh/Arg1/C4b/Anxa3,17,4.71150242,24h
0,GO:0001818: negative regulation of cytokine production,13/203,296/28564,2.28E-07,5.20E-05,3.61E-05,Cd200/Laptm5/Ceacam1/Gbp3/Oas1g/Trib2/Pglyrp1/Gpnmb/Inhbb/Arg2/Nlrp6/Tlr2/Arg1,13,4.283656595,24h
0,GO:0070371: ERK1 and ERK2 cascade,14/203,353/28564,2.68E-07,5.61E-05,3.90E-05,Ceacam1/Ccl21b/Chil1/Ccl21a/Ccl11/Gpnmb/Nlrp6/Tlr2/Ramp3/C3/Ctsh/Sox9/Cxcl17/Ccn2,14,4.250920386,24h
0,GO:0032102: negative regulation of response to external stimulus,15/203,429/28564,4.95E-07,8.89E-05,6.17E-05,Cd200/Ier3/Tspan8/Ceacam1/Adrb2/Oas1g/Ifi205/Pglyrp1/Arg2/Gpx2/Nlrp6/Slc12a2/St6gal1/Cxcl17/Arg1,15,4.051128588,24h
0,GO:0031348: negative regulation of defense response,12/203,268/28564,5.47E-07,9.17E-05,6.36E-05,Cd200/Ier3/Ceacam1/Adrb2/Oas1g/Ifi205/Pglyrp1/Arg2/Gpx2/Nlrp6/Cxcl17/Arg1,12,4.037778355,24h
0,GO:0034341: response to type II interferon,9/203,146/28564,1.08E-06,0.000159786,0.000110926,Gbp3/Irgm2/Ccl21b/Gch1/Ccl21a/Ccl11/Tlr2/Arg1/Gbp2,9,3.796462161,24h
0,GO:0006959: humoral immune response,12/203,299/28564,1.72E-06,0.000231262,0.000160546,B2m/Slpi/Pglyrp1/Ccl21b/Cfi/Cxcl15/Ccl21a/Ccl11/C3/Cxcl14/C4b/Wfdc15b,12,3.63589634,24h
0,GO:1990868: response to chemokine,7/203,81/28564,1.84E-06,0.000231262,0.000160546,Ripor2/Ccl21b/Cxcl15/Ccl21a/Ccl11/Slc12a2/Cxcl17,7,3.63589634,24h
0,GO:0010038: response to metal ion,12/203,309/28564,2.42E-06,0.000253843,0.000176222,Serpina1b/B2m/Serpina1e/Serpina1a/Trpv6/Lgmn/Aoc1/Cdh1/Slc12a2/Slc40a1/Casp6/Cp,12,3.595435015,24h
0,GO:0022408: negative regulation of cell-cell adhesion,10/203,211/28564,2.96E-06,0.000286587,0.000198953,Laptm5/Ceacam1/Adrb2/Ripor2/Ccl21b/Cdh1/Ccl21a/Gpnmb/Arg2/Arg1,10,3.542744101,24h
0,GO:0006898: receptor-mediated endocytosis,11/203,273/28564,4.52E-06,0.000376635,0.000261467,B2m/Ceacam1/Adrb2/Grk3/Fcgr4/Ccl21a/Clu/Cd14/Fcer1g/Ramp3/C3,11,3.424079354,24h
GO:0002697,GO:0002697: regulation of immune effector process,14/203,472/28564,7.99E-06,0.00054006,0.000374919,B2m/Laptm5/Ceacam1/Kit/H2-K1/Gm7030/Pglyrp1/Cfi/H2-T23/Tlr2/Fcer1g/C3/Arg1/C4b,14,3.26755793,24h
0,GO:1904645: response to amyloid-beta,5/203,39/28564,8.16E-06,0.00054006,0.000374919,Adrb2/Lgmn/Ramp3/Vcam1/Ngfr,5,3.26755793,24h
0,GO:0072593: reactive oxygen species metabolic process,10/203,249/28564,1.27E-05,0.000734966,0.000510226,Ier3/Gch1/Arg2/Noxo1/Lcn2/Gpx3/Gadd45a/Ngfr/Ccn2/Ddit4,10,3.133732935,24h
0,GO:0045765: regulation of angiogenesis,11/203,305/28564,1.28E-05,0.000734966,0.000510226,Ceacam1/Adrb2/Chil1/Ccl11/Lrg1/Slc12a2/Gadd45a/C3/Ctsh/Ngfr/Anxa3,11,3.133732935,24h
0,GO:0050678: regulation of epithelial cell proliferation,13/203,427/28564,1.29E-05,0.000734966,0.000510226,B2m/Cdkn2b/Rap1gap/Sulf2/Ceacam1/Esrp2/Cdh1/Ccl11/Lrg1/Cdkn1c/Sox9/Ngfr/Arg1,13,3.133732935,24h
